method,attribute,threshold,nodes,edges
labelprop,N/A,0.0,22502,44718
speakerlistener,N/A,0.0,21834,43377
attribute,_degree,0.5,22958,47988
attribute,_degree,0.05,22958,47988
attribute,_degree,0.005,22958,47988
attribute,_degree,0.0005,22958,47988
attribute,_degree,5e-05,22958,47988
attribute,_degree,5e-06,22958,47988
attribute,_betweenness,0.5,0,0
attribute,_betweenness,0.05,3,2
attribute,_betweenness,0.005,39,456
attribute,_betweenness,0.0005,135,1785
attribute,_betweenness,5e-05,1042,7252
attribute,_betweenness,5e-06,15124,40597
attribute,_pagerank,0.5,0,0
attribute,_pagerank,0.05,2,1
attribute,_pagerank,0.005,17,99
attribute,_pagerank,0.0005,84,1111
attribute,_pagerank,5e-05,586,4273
attribute,_pagerank,5e-06,22963,48436
attribute,N/A,0.0,22963,48436
